Brand,Model,Condition,Location,RAM,ROM,Price
2,34,10.0,57,4,64,25000
2,34,10.0,89,4,64,16000
2,34,10.0,23,4,64,15500
2,34,10.0,80,4,64,20000
2,34,10.0,57,4,64,16500
2,34,9.0,89,4,128,19500
2,34,10.0,36,4,128,22000
2,34,10.0,28,4,64,26999
2,34,10.0,62,4,64,16000
2,34,10.0,57,4,64,17999
2,34,9.0,45,4,64,13000
2,34,10.0,57,4,64,25500
2,34,9.0,57,4,64,24000
2,34,10.0,86,4,64,15000
2,34,10.0,89,4,64,25500
2,34,10.0,74,4,64,13500
2,34,10.0,70,4,64,16000
2,34,10.0,89,4,64,28500
2,34,9.0,86,4,64,15000
2,34,10.0,100,4,128,25000
2,34,10.0,36,4,64,15000
2,34,10.0,57,4,128,28000
2,34,10.0,98,4,64,13500
2,34,10.0,57,4,64,16000
2,34,10.0,97,4,64,29000
2,34,10.0,89,4,64,27000
2,34,10.0,87,4,64,22000
2,34,10.0,57,4,64,23500
2,34,10.0,57,4,64,28000
2,34,10.0,45,4,64,20000
2,34,10.0,57,4,64,20500
2,34,10.0,89,4,64,16000
2,34,10.0,32,4,64,16000
2,34,10.0,57,4,64,15000
2,34,9.0,45,4,64,22000
2,34,10.0,57,4,64,18000
2,34,10.0,5,4,64,15500
2,34,9.0,35,4,64,19000
2,34,10.0,57,4,64,27500
2,34,10.0,6,4,64,23000
2,34,10.0,3,4,128,29500
2,34,10.0,57,4,64,14000
2,34,10.0,36,4,64,14000
2,34,10.0,57,4,64,17500
2,34,9.0,45,4,64,30000
2,34,10.0,89,4,64,26500
2,34,10.0,57,4,64,18000
2,34,10.0,57,4,64,23500
2,34,10.0,45,4,64,20500
2,34,9.0,76,4,64,27000
2,34,10.0,10,4,128,27000
2,34,10.0,57,4,64,24500
2,34,10.0,8,4,64,20000
2,34,10.0,57,4,64,21000
2,34,10.0,57,4,64,27000
2,34,10.0,89,4,64,26500
2,34,10.0,36,4,128,22000
2,34,10.0,89,4,64,25500
2,34,9.0,5,4,64,20500
2,34,10.0,102,4,128,17000
2,34,10.0,53,4,64,18000
2,34,10.0,6,4,128,25000
2,34,10.0,30,4,128,23500
2,34,10.0,102,4,64,24000
2,34,10.0,45,4,128,28000
2,34,10.0,57,4,64,25000
2,34,10.0,57,4,64,23500
2,34,10.0,57,4,64,20000
2,34,10.0,82,4,64,20000
2,34,10.0,87,4,64,13000
2,34,10.0,57,4,64,13000
2,34,10.0,23,4,64,15999
2,34,10.0,109,4,64,18000
2,34,10.0,89,4,128,33000
2,34,10.0,57,4,64,15000
2,34,9.0,45,4,64,18500
2,34,10.0,89,4,64,32500
2,34,10.0,57,4,64,18500
2,34,10.0,57,4,64,15000
2,34,10.0,45,4,128,15000
2,34,10.0,23,4,64,17000
2,34,9.0,57,4,128,22500
2,34,10.0,111,4,64,17000
2,34,10.0,45,4,128,26000
2,34,10.0,102,4,64,20000
2,34,10.0,23,4,64,24500
2,34,10.0,23,4,64,24000
2,34,10.0,102,4,64,24000
2,34,10.0,89,4,64,28000
2,34,10.0,107,4,64,24500
2,34,10.0,57,4,128,18500
