Brand,Model,Condition,Location,RAM,ROM,Price
Apple,Iphone-12-Pro-Max,10,Karachi,6,256,240000
Apple,Iphone-13-Pro-Max,10,Karachi,6,256,335000
Apple,Iphone-12-Pro-Max,10,Karachi,6,256,239000
Apple,Iphone-13,10,Karachi,4,128,240000
Apple,Iphone-11,10,Karachi,4,64,78000
Apple,Iphone-11,10,Karachi,4,64,82000
Apple,Iphone-11,10,Karachi,4,64,72000
Apple,Iphone-Xr,10,Karachi,3,64,50000
Apple,Iphone-Xr,10,Karachi,3,64,50000
Apple,Iphone-Xr,10,Karachi,3,64,55000
Apple,Iphone-11-Pro,9,Karachi,4,64,98000
Apple,Iphone-12,10,Karachi,4,128,122000
Apple,Iphone-12-Pro-Max,10,Karachi,6,128,162000
Apple,Iphone-11-Pro-Max,9,Karachi,4,64,160000
Apple,Iphone-13-Pro-Max,9,Karachi,6,128,216000
Apple,Iphone-12-Pro-Max,10,Karachi,6,256,240000
Apple,Iphone-13-Pro-Max,9,Karachi,6,128,218000
Apple,Iphone-X,10,Karachi,3,64,51000
Apple,Iphone-13-Pro,10,Karachi,6,256,213000
Apple,Iphone-13-Pro-Max,10,Karachi,6,256,250000
Apple,Iphone-12-Pro-Max,10,Karachi,6,256,240000
Apple,Iphone-12-Pro-Max,10,Karachi,6,128,223000
Apple,Iphone-7+,9,Karachi,3,128,45000
Apple,Iphone-X,10,Karachi,3,256,55000
Apple,Iphone-13-Pro,10,Karachi,6,128,205000
Apple,Iphone-13-Pro-Max,9,Karachi,6,256,230000
Apple,Iphone-13-Pro-Max,9.76,Karachi,6,128,225000
Apple,Iphone-Xs,9,Karachi,4,64,62000
Apple,Iphone-Xs,9,Karachi,4,256,66000
Apple,Iphone-Xs,9,Karachi,4,64,60000
Apple,Iphone-11,9,Karachi,4,256,88000
Apple,Iphone-11,9,Karachi,4,256,92000
Apple,Iphone-8+,9,Karachi,6,256,65000
Apple,Iphone-12-Pro-Max,10,Karachi,6,128,163000
Apple,Iphone-Xs-Max,10,Karachi,4,256,125000
Apple,Iphone-12-Pro,10,Karachi,2,128,205000
Apple,Iphone-13-Pro-Max,10,Karachi,6,128,320000
Apple,Iphone-13-Pro,10,Karachi,6,256,305000
Apple,Iphone-13-Pro-Max,10,Karachi,6,256,242000
Apple,Iphone-13-Pro-Max,10,Karachi,6,256,345000
Apple,Iphone-8+,9,Karachi,6,64,55000
Apple,Iphone-7+,9,Karachi,3,128,47000
Apple,Iphone-Xs-Max,10,Karachi,4,512,78000
Apple,Iphone-11-Pro,10,Karachi,4,256,144000
Apple,Iphone-X,10,Karachi,3,256,56000
Apple,Iphone-11,10,Karachi,4,64,79000
Apple,Iphone-13-Pro-Max,10,Karachi,6,128,325000
Apple,Iphone-8+,10,Karachi,6,64,56000
Apple,Iphone-Xs,10,Karachi,4,256,67000
Apple,Iphone-13-Pro-Max,10,Karachi,6,128,220000
Apple,Iphone-Xs-Max,10,Karachi,4,64,77000
Apple,Iphone-Xs,10,Karachi,4,64,63000
Apple,Iphone-13-Pro-Max,10,Karachi,6,128,315000
Apple,Iphone-Xs,9,Karachi,4,512,102000
Apple,Iphone-Xs,10,Karachi,4,64,62000
Apple,Iphone-X,10,Karachi,3,256,57000
Apple,Iphone-Xr,10,Karachi,3,128,60000
Apple,Iphone-11,10,Karachi,4,64,75000
Apple,Iphone-X,10,Karachi,3,256,57000
Apple,Iphone-Xr,10,Karachi,3,64,52000
Apple,Iphone-7+,10,Karachi,3,256,32000
Apple,Iphone-7+,10,Karachi,3,256,47000
Apple,Iphone-Xs-Max,9,Karachi,4,64,72000
Apple,Iphone-Xs-Max,9,Karachi,4,64,72000
Apple,Iphone-11-Pro,9,Karachi,4,64,95000
Apple,Iphone-11-Pro,10,Karachi,4,64,95000
Apple,Iphone-11-Pro-Max,10,Karachi,4,64,110000
Apple,Iphone-11,10,Karachi,4,256,85000
Apple,Iphone-13-Pro-Max,10,Karachi,6,256,315000
Apple,Iphone-11,10,Karachi,4,256,83000
Apple,Iphone-11-Pro,10,Karachi,4,256,140000
Apple,Iphone-Xs,10,Karachi,4,64,55000
Apple,Iphone-Xs,9,Karachi,4,256,96000
Apple,Iphone-8+,10,Karachi,6,256,68000
Apple,Iphone-8+,10,Karachi,6,128,66000
Apple,Iphone-X,10,Karachi,3,256,55000
Apple,Iphone-Xs,10,Karachi,4,256,60000
Apple,Iphone-X,10,Karachi,3,256,79000
Apple,Iphone-11,10,Karachi,4,64,80000
Apple,Iphone-11-Pro,10,Karachi,4,64,88000
Apple,Iphone-Xs-Max,10,Karachi,4,256,80000
Apple,Iphone-Xs,10,Karachi,4,64,55000
Apple,Iphone-Xr,10,Karachi,3,128,56000
Apple,Iphone-X,10,Karachi,3,256,53000
Apple,Iphone-8+,10,Karachi,6,256,60000
Apple,Iphone-Xs,10,Karachi,4,64,80000
Apple,Iphone-X,10,Karachi,3,64,47000
Apple,Iphone-11,10,Karachi,4,64,73000
Apple,Iphone-8+,10,Karachi,6,256,72000
Apple,Iphone-8+,10,Karachi,6,64,56000
Apple,Iphone-11-Pro,10,Karachi,4,256,138000
Apple,Iphone-Xs-Max,10,Karachi,4,256,85000
Apple,Iphone-11-Pro-Max,10,Karachi,4,256,160000
Apple,Iphone-7,10,Karachi,2,128,29999
Apple,Iphone-11,10,Karachi,4,64,78500
Apple,Iphone-11,9.76,Karachi,4,64,104999
Apple,Iphone-11-Pro,10,Karachi,4,256,140000
Apple,Iphone-X,10,Karachi,3,256,81000
Apple,Iphone-Xs,10,Karachi,4,64,83000
Apple,Iphone-13-Pro,10,Karachi,6,128,255000
Apple,Iphone-11-Pro,10,Karachi,4,256,140000
Apple,Iphone-11-Pro,10,Karachi,4,256,140000
Apple,Iphone-12-Pro-Max,10,Karachi,6,256,220000
Apple,Iphone-7+,10,Karachi,3,128,46000
Apple,Iphone-11-Pro,10,Karachi,4,64,133000
Apple,Iphone-11,10,Karachi,4,64,108000
Apple,Iphone-11-Pro-Max,10,Karachi,4,256,165000
Apple,Iphone-11-Pro,10,Karachi,4,256,104000
Apple,Iphone-7,9,Karachi,2,128,30000
Apple,Iphone-11,10,Karachi,4,128,118000
Apple,Iphone-Xs,10,Karachi,4,64,56000
Apple,Iphone-11-Pro,10,Karachi,4,64,97000
Apple,Iphone-X,10,Karachi,3,64,53000
Apple,Iphone-11-Pro-Max,10,Karachi,4,64,143000
Apple,Iphone-7,9,Karachi,2,128,30000
Apple,Iphone-X,10,Karachi,3,256,81000
Apple,Iphone-11-Pro-Max,10,Karachi,4,256,165000
Apple,Iphone-7+,10,Karachi,3,256,48000
Apple,Iphone-7+,10,Karachi,3,128,45000
Apple,Iphone-12-Pro-Max,10,Karachi,6,256,185000
Apple,Iphone-12-Pro-Max,10,Karachi,6,256,220000
Apple,Iphone-11,10,Karachi,4,64,85000
Apple,Iphone-7+,10,Karachi,3,32,39000
Apple,Iphone-8+,9,Karachi,6,256,65000
Apple,Iphone-X,10,Karachi,3,256,82000
Apple,Iphone-X,9,Karachi,3,256,83000
Apple,Iphone-7+,9,Karachi,3,128,45000
Apple,Iphone-8+,9,Karachi,6,256,65000
Apple,Iphone-7,9,Karachi,2,128,30000
Apple,Iphone-11-Pro-Max,10,Karachi,4,256,153000
Apple,Iphone-Xs,10,Karachi,4,64,83000
Apple,Iphone-11-Pro,10,Karachi,4,256,144000
Apple,Iphone-11,10,Karachi,4,128,118000
Apple,Iphone-X,9,Karachi,3,256,80000
Apple,Iphone-12-Pro,10,Karachi,2,128,149000
Apple,Iphone-11-Pro,10,Karachi,4,256,146000
Apple,Iphone-12-Pro,10,Karachi,2,256,165000
Apple,Iphone-11-Pro,10,Karachi,4,256,138000
Apple,Iphone-7,10,Karachi,2,128,29000
Apple,Iphone-13-Pro-Max,9.76,Karachi,6,128,285000
Apple,Iphone-12-Pro-Max,9,Karachi,6,256,210000
Apple,Iphone-Xs,9,Karachi,4,256,86000
Apple,Iphone-11,9,Karachi,4,64,73000
Apple,Iphone-Xs,10,Karachi,4,64,63000
Apple,Iphone-Xs,10,Karachi,4,64,63000
Apple,Iphone-8+,10,Karachi,6,64,60000
Apple,Iphone-8+,10,Karachi,6,64,60000
Apple,Iphone-Xs,10,Karachi,4,64,63999
Apple,Iphone-11,10,Karachi,4,128,125000
Apple,Iphone-7,9,Karachi,2,128,30000
Apple,Iphone-8+,9,Karachi,6,64,58000
Apple,Iphone-8+,10,Karachi,6,256,72000
Apple,Iphone-Xs-Max,9,Karachi,4,256,130000
Apple,Iphone-Xs-Max,10,Karachi,4,256,127000
Apple,Iphone-8+,9.76,Karachi,6,64,62000
Apple,Iphone-11,10,Karachi,4,128,128000
Apple,Iphone-7+,9,Karachi,3,256,53000
Apple,Iphone-12-Pro-Max,9.76,Karachi,6,256,215000
Apple,Iphone-11,9.76,Karachi,4,128,98000
Apple,Iphone-Xs,10,Karachi,4,256,110000
Apple,Iphone-7+,9,Karachi,3,128,58000
Apple,Iphone-8+,9.76,Karachi,6,64,65000
