Brand,Model,Condition,Location,Price,Description,RAM,ROM
Samsung,samsung-a-30,10, Lahore,"25,000","[4, 30, 64]",30,64
Samsung,samsung-a-30,10, Rawalpindi,"16,000",[],0,0
Samsung,samsung-a-30,10, Faisalabad,"15,500",[],0,0
Samsung,samsung-a-30,10, Pakpattan,"20,000",[],0,0
Samsung,samsung-a-30,10, Lahore,"16,500","[30, 64]",30,64
Samsung,samsung-a-30,9, Rawalpindi,"19,500","[4, 128]",4,128
Samsung,samsung-a-30,10, Islamabad,"22,000","[4, 30, 128]",30,128
Samsung,samsung-a-30,10, Gujranwala,"26,999","[4, 64]",4,64
Samsung,samsung-a-30,10, Mandi Bahauddin,"16,000","[4, 64]",4,64
Samsung,samsung-a-30,10, Lahore,"17,999",[],0,0
Samsung,samsung-a-30,9, Karachi,"13,000",[],0,0
Samsung,samsung-a-30,10, Lahore,"25,500",[],0,0
Samsung,samsung-a-30,9, Lahore,"24,000",[],0,0
Samsung,samsung-a-30,10, Rahimyar Khan,"15,000",[],0,0
Samsung,samsung-a-30,10, Rawalpindi,"25,500",[128],0,0
Samsung,samsung-a-30,10, Nankana Sahib,"13,500",[128],0,0
Samsung,samsung-a-30,10, Multan,"16,000",[],0,0
Samsung,samsung-a-30,10, Rawalpindi,"28,500",[],0,0
Samsung,samsung-a-30,9, Rahimyar Khan,"15,000","[4, 64]",4,64
Samsung,samsung-a-30,10, Shikarpur,"25,000","[30, 128]",30,128
Samsung,samsung-a-30,10, Islamabad,"15,000",[],0,0
Samsung,samsung-a-30,10, Lahore,"28,000","[4, 30, 128]",30,128
Samsung,samsung-a-30,10, Sheikhüpura,"13,500",[128],0,0
Samsung,samsung-a-30,10, Lahore,"16,000","[4, 64]",4,64
Samsung,samsung-a-30,10, Shakargarh,"29,000",[],0,0
Samsung,samsung-a-30,10, Rawalpindi,"27,000",[],0,0
Samsung,samsung-a-30,10, Raiwind,"22,000",[],0,0
Samsung,samsung-a-30,10, Lahore,"23,500",[],0,0
Samsung,samsung-a-30,10, Lahore,"28,000",[],0,0
